RedFighter,BlueFighter,Winner
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Alex Pereira,Jamahal Hill,Red
Zhang Weili,Yan Xiaonan,Red
Justin Gaethje,Max Holloway,Blue
Charles Oliveira,Arman Tsarukyan,Blue
Bo Nickal,Cody Brundage,Red
Jiri Prochazka,Aleksandar Rakic,Red
Calvin Kattar,Aljamain Sterling,Blue
Holly Holm,Kayla Harrison,Blue
Sodiq Yusuff,Diego Lopes,Blue
Jalin Turner,Renato Moicano,Blue
Jessica Andrade,Marina Rodriguez,Red
King Green,Jim Miller,Red
Deiveson Figueiredo,Cody Garbrandt,Red
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Brendan Allen,Chris Curtis,Red
Alexander Hernandez,Damon Jackson,Blue
Morgan Charriere,Chepe Mariscal,Blue
Ignacio Bahamondes,Christos Giagos,Red
Trevor Peek,Charlie Campbell,Blue
Court McGee,Alex Morono,Blue
Valter Walker,Lukasz Brzeski,Blue
Norma Dumont,Germaine de Randamie,Red
Pedro Falcao,Victor Hugo,Blue
