RedFighter,BlueFighter,Winner
Ian McCall,John Lineker,Blue
Rafael Natal,Tom Watson,Red
Richardson Moreira,Ildemar Alcantara,Blue
Thiago Santos,Andy Enz,Red
Alexander Gustafsson,Anthony Johnson,Blue
Dan Henderson,Gegard Mousasi,Blue
Phil Davis,Ryan Bader,Blue
Akira Corassani,Sam Sicilia,Blue
Nico Musoke,Albert Tumenov,Blue
Kenny Robertson,Sultan Aliev,Red
Andy Ogle,Makwan Amirkhani,Blue
Nikita Krylov,Stanislav Nedkov,Red
Mairbek Taisumov,Anthony Christodoulou,Red
Mirsad Bektic,Paul Redmond,Red
Viktor Pesta,Konstantin Erokhin,Red
Neil Seery,Chris Beal,Red
Conor McGregor,Dennis Siver,Red
Donald Cerrone,Benson Henderson,Red
Uriah Hall,Ron Stallings,Red
Norman Parke,Gleison Tibau,Blue
Cathal Pendred,Sean Spencer,Red
John Howard,Lorenz Larkin,Blue
Zhang Lipeng,Chris Wade,Blue
Paddy Holohan,Shane Howell,Red
Johnny Case,Frankie Perez,Red
Charles Rosa,Sean Soriano,Red
Matt Van Buren,Sean O'Connell,Blue
Tateki Matsuda,Joby Sanchez,Blue
Jon Jones,Daniel Cormier,Red
Donald Cerrone,Myles Jury,Red
Brad Tavares,Nate Marquardt,Red
Kyoji Horiguchi,Louis Gaudinot,Red
Danny Castillo,Paul Felder,Blue
Marcus Brimage,Cody Garbrandt,Blue
Shawn Jordan,Jared Cannonier,Red
Evan Dunham,Rodrigo Damm,Red
Omari Akhmedov,Mats Nilsson,Red
Alexis Dufresne,Marion Reneau,Blue
Lyoto Machida,CB Dollaway,Red
Renan Barao,Mitch Gagnon,Red
Antonio Carlos Junior,Patrick Cummins,Blue
Elias Silverio,Rashid Magomedov,Blue
Erick Silva,Mike Rhodes,Red
Daniel Sarafian,Antonio Dos Santos,Red
Marcos Rogerio de Lima,Igor Pokrajac,Red
Tom Niinimaki,Renato Moicano,Blue
Darren Elkins,Hacran Dias,Blue
Leandro Issa,Ulka Sasaki,Red
Marcio Alexandre Junior,Tim Means,Blue
Vitor Miranda,Jake Collier,Red
Junior Dos Santos,Stipe Miocic,Red
Rafael Dos Anjos,Nate Diaz,Red
Alistair Overeem,Stefan Struve,Red
Gabriel Gonzaga,Matt Mitrione,Blue
Claudia Gadelha,Joanna Jedrzejczyk,Blue
John Moraga,Willie Gates,Red
Joe Riggs,Ben Saunders,Blue
Jamie Varner,Drew Dober,Blue
Joe Ellenberger,Bryan Barberena,Blue
David Michaud,Garett Whiteley,Red
Henry Cejudo,Dustin Kimura,Red
Anthony Birchak,Ian Entwistle,Blue
Carla Esparza,Rose Namajunas,Red
Jeremy Stephens,Charles Oliveira,Blue
Joe Proctor,Yancy Medeiros,Blue
Jessica Penne,Randa Markos,Red
Felice Herrig,Lisa Ellis,Red
Bec Rawlings,Heather Jo Clark,Blue
Joanne Calderwood,Seohee Ham,Red
Tecia Torres,Angela Magana,Red
Aisling Daly,Alex Chambers,Red
Emily Peters Kagan,Angela Hill,Blue
Johny Hendricks,Robbie Lawler,Blue
Anthony Pettis,Gilbert Melendez,Red
Travis Browne,Brendan Schaub,Red
Todd Duffee,Anthony Hamilton,Red
Tony Ferguson,Abel Trujillo,Red
Urijah Faber,Francisco Rivera,Red
Eddie Gordon,Josh Samman,Blue
Corey Anderson,Justin Jones,Red
Raquel Pennington,Ashlee Evans-Smith,Red
Sergio Pettis,Matt Hobar,Red
Alex White,Clay Collard,Blue
Frankie Edgar,Cub Swanson,Red
Bobby Green,Edson Barboza,Blue
Brad Pickett,Chico Camus,Blue
Jared Rosholt,Aleksei Oleinik,Blue
Joseph Benavidez,Dustin Ortiz,Red
Matt Wiman,Isaac Vallie-Flagg,Red
Ruslan Magomedov,Josh Copeland,Red
Luke Barnatt,Roger Narvaez,Blue
James Vick,Nick Hein,Red
Yves Edwards,Akbarh Arreola,Blue
Paige VanZant,Kailin Curran,Red
Juan Puig,Dooho Choi,Blue
Fabricio Werdum,Mark Hunt,Red
Jake Ellenberger,Kelvin Gastelum,Blue
Ricardo Lamas,Dennis Bermudez,Red
Augusto Montano,Chris Heatherly,Red
Edgar Garcia,Hector Urbina,Blue
Yair Rodriguez,Leonardo Morales,Red
Alejandro Perez,Jose Quinonez,Red
Jessica Eye,Leslie Smith,Red
Gabriel Benitez,Humberto Brown,Red
Henry Briones,Guido Cannetti,Red
Marco Beltran,Marlon Vera,Red
Mauricio Rua,Ovince Saint Preux,Blue
Warlley Alves,Alan Jouban,Red
Claudio Silva,Leon Edwards,Red
Dhiego Lima,Jorge de Oliveira,Red
Juliana Lima,Nina Ansaroff,Red
Diego Rivas,Rodolfo Rubio,Red
Caio Magalhaes,Trevor Smith,Red
Leandro Silva,Charlie Brenneman,Red
Thomas Almeida,Tim Gorman,Red
Wagner Silva,Colby Covington,Blue
Luke Rockhold,Michael Bisping,Red
Ross Pearson,Al Iaquinta,Blue
Robert Whittaker,Clint Hester,Red
Soa Palelei,Walt Harris,Red
Jake Matthews,Vagner Rocha,Red
Anthony Perosh,Guto Inocente,Red
Dylan Andrews,Sam Alvey,Blue
Richie Vaculik,Louis Smolka,Blue
Vik Grujic,Chris Clements,Blue
Luke Zachrich,Daniel Kelly,Blue
Jumabieke Tuerxun,Marcus Brimage,Blue
Jose Aldo,Chad Mendes,Red
Glover Teixeira,Phil Davis,Blue
Fabio Maldonado,Hans Stringer,Red
Darren Elkins,Lucas Martins,Red
Diego Ferreira,Beneil Dariush,Blue
William Patolino,Neil Magny,Blue
Yan Cabral,Naoyuki Kotani,Red
Scott Jorgensen,Wilson Reis,Blue
Felipe Arantes,Andre Fili,Blue
Gilbert Burns,Christos Giagos,Red
Fabricio Camoes,Anthony Rocco Martin,Blue
Rory MacDonald,Tarec Saffiedine,Red
Raphael Assuncao,Bryan Caraway,Red
Chad Laprise,Yosdenis Cedeno,Red
Elias Theodorou,Bruno Santos,Red
Nordine Taleb,Li Jingliang,Red
Mitch Gagnon,Roman Salazar,Red
Daron Cruickshank,Anthony Njokuani,Red
Olivier Aubin-Mercier,Jake Lindsey,Red
Jason Saggo,Paul Felder,Blue
Paddy Holohan,Chris Kelades,Blue
Albert Tumenov,Matt Dwyer,Red
Gunnar Nelson,Rick Story,Blue
Akira Corassani,Max Holloway,Blue
Ilir Latifi,Jan Blachowicz,Blue
Niklas Backstrom,Mike Wilkinson,Blue
Magnus Cedenblad,Scott Askham,Red
Nico Musoke,Alexander Yakovlev,Red
Dennis Siver,Charles Rosa,Red
Cathal Pendred,Gasan Umalatov,Red
Tor Troeng,Krzysztof Jotko,Blue
Mairbek Taisumov,Marcin Bandel,Red
Zubaira Tukhugov,Ernest Chavez,Red
Demetrious Johnson,Chris Cariaso,Red
Donald Cerrone,Eddie Alvarez,Red
Dustin Poirier,Conor McGregor,Blue
Tim Kennedy,Yoel Romero,Blue
Cat Zingano,Amanda Nunes,Red
Dominick Cruz,Takeya Mizugaki,Red
Jorge Masvidal,James Krause,Red
Patrick Cote,Stephen Thompson,Blue
John Howard,Brian Ebersole,Blue
Jon Tuck,Kevin Lee,Blue
Manvel Gamburyan,Cody Gibson,Red
Mark Hunt,Roy Nelson,Red
Myles Jury,Takanori Gomi,Red
Yoshihiro Akiyama,Amir Sadollah,Red
Miesha Tate,Rin Nakai,Red
Kiichi Kunimoto,Richard Walsh,Red
Kyoji Horiguchi,Jon Delos Reyes,Red
Alex Caceres,Masanori Kanehara,Blue
Katsunori Kikuno,Sam Sicilia,Red
Hyun Gyu Lim,Takenori Sato,Red
Michinori Tanaka,Kyung Ho Kang,Blue
Kazuki Tokudome,Johnny Case,Blue
Maximo Blanco,Dan Hooker,Red
Antonio Silva,Andrei Arlovski,Blue
Gleison Tibau,Piotr Hallmann,Red
Leonardo Santos,Efrain Escudero,Red
Santiago Ponzinibbio,Wendell Oliveira,Red
Iuri Alcantara,Russell Doane,Red
Jessica Andrade,Larissa Pacheco,Red
Godofredo Pepey,Dashon Johnson,Red
Igor Araujo,George Sullivan,Blue
Francisco Trinaldo,Leandro Silva,Red
Paulo Thiago,Sean Spencer,Blue
Rani Yahya,Johnny Bedford,Red
Jacare Souza,Gegard Mousasi,Red
Alistair Overeem,Ben Rothwell,Blue
Matt Mitrione,Derrick Lewis,Red
Joe Lauzon,Michael Chiesa,Red
John Moraga,Justin Scoggins,Red
Al Iaquinta,Rodrigo Damm,Red
Rafael Natal,Chris Camozzi,Red
Chris Beal,Tateki Matsuda,Red
Sean Soriano,Chas Skelly,Blue
TJ Dillashaw,Joe Soto,Red
Tony Ferguson,Danny Castillo,Red
Bethe Correia,Shayna Baszler,Red
Ramsey Nijem,Diego Ferreira,Blue
Yancy Medeiros,Damon Jackson,Red
Lorenz Larkin,Derek Brunson,Blue
Ruan Potts,Anthony Hamilton,Blue
Chris Wade,Cain Carrizosa,Red
Benson Henderson,Rafael Dos Anjos,Blue
Mike Pyle,Jordan Mein,Blue
Francis Carmont,Thales Leites,Blue
Max Holloway,Clay Collard,Red
James Vick,Valmir Lazaro,Red
Chas Skelly,Tom Niinimaki,Red
Neil Magny,Alex Garcia,Red
Beneil Dariush,Anthony Rocco Martin,Red
Aaron Phillips,Matt Hobar,Blue
Ben Saunders,Chris Heatherly,Red
Wilson Reis,Joby Sanchez,Red
Michael Bisping,Cung Le,Red
Tyron Woodley,Dong Hyun Kim,Red
Zhang Lipeng,Brendan O'Reilly,Red
Ning Guangyou,Jianping Yang,Red
Sai Wang,Danny Mitchell,Red
Alberto Mina,Shinsho Anzai,Red
Roland Delorme,Ulka Sasaki,Blue
An Ying Wang,Colby Covington,Blue
Yao Zhikui,Royston Wee,Blue
Elizabeth Phillips,Milana Dudieva,Blue
Ryan Bader,Ovince Saint Preux,Red
Gray Maynard,Ross Pearson,Blue
Tim Boetsch,Brad Tavares,Red
Seth Baczynski,Alan Jouban,Blue
Shawn Jordan,Jack May,Red
Thiago Tavares,Robert Peralta,Red
Jussier Formiga,Zach Makovsky,Red
Sara McMann,Lauren Murphy,Red
Tom Watson,Sam Alvey,Red
Nolan Ticman,Frankie Saenz,Blue
Robbie Lawler,Matt Brown,Red
Anthony Johnson,Rogerio Nogueira,Red
Clay Guida,Dennis Bermudez,Blue
Josh Thomson,Bobby Green,Blue
Daron Cruickshank,Jorge Masvidal,Blue
Kyle Kingsbury,Patrick Cummins,Blue
Hernani Perpetuo,Tim Means,Blue
Akbarh Arreola,Tiago Trator,Blue
Andreas Stahl,Gilbert Burns,Blue
Juliana Lima,Joanna Jedrzejczyk,Blue
Steven Siler,Noad Lahat,Blue
Conor McGregor,Diego Brandao,Red
Gunnar Nelson,Zak Cummings,Red
Brad Pickett,Ian McCall,Blue
Norman Parke,Naoyuki Kotani,Red
Ilir Latifi,Chris Dempsey,Red
Neil Seery,Phil Harris,Red
Cathal Pendred,Mike King,Red
Tor Troeng,Trevor Smith,Blue
Cody Donovan,Nikita Krylov,Blue
Paddy Holohan,Joshua Sampo,Red
Donald Cerrone,Jim Miller,Red
Edson Barboza,Evan Dunham,Red
Rick Story,Leonardo Mafra,Red
Justin Salas,Joe Proctor,Blue
John Lineker,Alptekin Ozkilic,Red
Lucas Martins,Alex White,Red
Gleison Tibau,Pat Healy,Red
Jessamyn Duke,Leslie Smith,Blue
Hugo Viana,Aljamain Sterling,Blue
Yosdenis Cedeno,Jerrod Sanders,Red
Claudia Gadelha,Tina Lahdemaki,Red
Frankie Edgar,BJ Penn,Red
Corey Anderson,Matt Van Buren,Red
Dhiego Lima,Eddie Gordon,Blue
Derrick Lewis,Guto Inocente,Red
Justin Scoggins,Dustin Ortiz,Blue
Jesse Ronson,Kevin Lee,Blue
Jumabieke Tuerxun,Leandro Issa,Blue
Adriano Martins,Juan Puig,Red
Patrick Walsh,Daniel Spohn,Red
Sarah Moras,Alexis Dufresne,Red
Chris Weidman,Lyoto Machida,Red
Ronda Rousey,Alexis Davis,Red
Uriah Hall,Thiago Santos,Red
Marcus Brimage,Russell Doane,Blue
Urijah Faber,Alex Caceres,Red
Kenny Robertson,Ildemar Alcantara,Red
Chris Camozzi,Bruno Santos,Blue
George Roop,Rob Font,Blue
Luke Zachrich,Guilherme Vasconcelos,Red
Cub Swanson,Jeremy Stephens,Red
Kelvin Gastelum,Nico Musoke,Red
Cezar Ferreira,Andrew Craig,Red
Ricardo Lamas,Hacran Dias,Red
Clint Hester,Antonio Braga Neto,Red
Joe Ellenberger,James Moontasri,Red
Colton Smith,Diego Ferreira,Blue
Johnny Bedford,Cody Gibson,Blue
Marcelo Guimaraes,Andy Enz,Red
Ray Borg,Shane Howell,Red
Aleksei Oleinik,Anthony Hamilton,Red
James Te Huna,Nate Marquardt,Blue
Soa Palelei,Jared Rosholt,Blue
Hatsu Hioki,Charles Oliveira,Blue
Robert Whittaker,Mike Rhodes,Red
Jake Matthews,Dashon Johnson,Red
Richie Vaculik,Roldan Sangcha-an,Red
Chris Indich,Vik Grujic,Blue
Neil Magny,Rodrigo de Lima,Red
Dan Hooker,Ian Entwistle,Red
Gian Villante,Sean O'Connell,Red
Demetrious Johnson,Ali Bagautinov,Red
Rory MacDonald,Tyron Woodley,Red
Ryan Bader,Rafael Feijao,Red
Andrei Arlovski,Brendan Schaub,Red
Ovince Saint Preux,Ryan Jimmo,Red
Daniel Sarafian,Kiichi Kunimoto,Blue
Valerie Letourneau,Elizabeth Phillips,Red
Yves Jabouin,Mike Easton,Red
Kajan Johnson,Tae Hyun Bang,Blue
Roland Delorme,Michinori Tanaka,Blue
Jason Saggo,Josh Shockley,Red
Benson Henderson,Rustam Khabilov,Red
Diego Sanchez,Ross Pearson,Red
John Dodson,John Moraga,Red
Rafael Dos Anjos,Jason High,Red
Yves Edwards,Piotr Hallmann,Blue
Erik Perez,Bryan Caraway,Blue
Yaotzin Meza,Sergio Pettis,Blue
Bobby Voelker,Lance Benoist,Blue
Scott Jorgensen,Danny Martinez,Red
Jon Tuck,Jake Lindsey,Red
Patrick Cummins,Roger Narvaez,Red
Stipe Miocic,Fabio Maldonado,Red
Vitor Miranda,Antonio Carlos Junior,Blue
Marcio Alexandre Junior,Warlley Alves,Blue
Demian Maia,Alexander Yakovlev,Red
Rony Jason,Robert Peralta,Blue
Rodrigo Damm,Rashid Magomedov,Blue
Elias Silverio,Ernest Chavez,Red
Paulo Thiago,Gasan Umalatov,Blue
Kevin Souza,Mark Eddiva,Red
Ricardo Abreu,Wagner Silva,Red
Marcos Rogerio de Lima,Richardson Moreira,Red
Pedro Munhoz,Matt Hobar,Red
Mark Munoz,Gegard Mousasi,Blue
Francis Carmont,CB Dollaway,Blue
Luke Barnatt,Sean Strickland,Blue
Tom Niinimaki,Niklas Backstrom,Blue
Nick Hein,Drew Dober,Red
Magnus Cedenblad,Krzysztof Jotko,Red
Vaughan Lee,Iuri Alcantara,Blue
Peter Sobotta,Pawel Pawlak,Red
Andy Ogle,Maximo Blanco,Blue
Viktor Pesta,Ruslan Magomedov,Blue
Renan Barao,TJ Dillashaw,Blue
Daniel Cormier,Dan Henderson,Red
Robbie Lawler,Jake Ellenberger,Red
Takeya Mizugaki,Francisco Rivera,Red
Jamie Varner,James Krause,Blue
Michael Chiesa,Francisco Trinaldo,Red
Tony Ferguson,Katsunori Kikuno,Red
Chris Holdsworth,Chico Camus,Red
Al Iaquinta,Mitch Clarke,Blue
Anthony Njokuani,Vinc Pichel,Blue
Sam Sicilia,Aaron Phillips,Red
David Michaud,Li Jingliang,Blue
Matt Brown,Erick Silva,Red
Costas Philippou,Lorenz Larkin,Red
Erik Koch,Daron Cruickshank,Blue
Neil Magny,Tim Means,Red
Soa Palelei,Ruan Potts,Red
Chris Cariaso,Louis Smolka,Red
Ed Herman,Rafael Natal,Red
Kyoji Horiguchi,Darrell Montague,Red
Yan Cabral,Zak Cummings,Blue
Eddie Wineland,Johnny Eduardo,Blue
Manvel Gamburyan,Nik Lentz,Blue
Justin Salas,Ben Wall,Red
Anthony Lapsley,Albert Tumenov,Blue
Jon Jones,Glover Teixeira,Red
Phil Davis,Anthony Johnson,Blue
Luke Rockhold,Tim Boetsch,Red
Jim Miller,Yancy Medeiros,Red
Max Holloway,Andre Fili,Red
Joseph Benavidez,Tim Elliott,Red
Takanori Gomi,Isaac Vallie-Flagg,Red
Jessamyn Duke,Bethe Correia,Blue
Danny Castillo,Charlie Brenneman,Red
Chris Beal,Patrick Williams,Red
Fabricio Werdum,Travis Browne,Red
Miesha Tate,Liz Carmouche,Red
Donald Cerrone,Edson Barboza,Red
Brad Tavares,Yoel Romero,Blue
Rafael Dos Anjos,Khabib Nurmagomedov,Blue
Thiago Alves,Seth Baczynski,Red
Jorge Masvidal,Pat Healy,Red
Estevan Payan,Alex White,Blue
Caio Magalhaes,Luke Zachrich,Red
Jordan Mein,Hernani Perpetuo,Red
Dustin Ortiz,Ray Borg,Red
Mirsad Bektic,Chas Skelly,Red
Derrick Lewis,Jack May,Red
Michael Bisping,Tim Kennedy,Blue
Patrick Cote,Kyle Noke,Red
Sheldon Westcott,Elias Theodorou,Blue
Chad Laprise,Olivier Aubin-Mercier,Red
Dustin Poirier,Akira Corassani,Red
Sam Stout,KJ Noons,Blue
Sarah Kaufman,Leslie Smith,Red
Ryan Jimmo,Sean O'Connell,Red
George Roop,Dustin Kimura,Red
Mark Bocek,Mike de la Torre,Red
Nordine Taleb,Vik Grujic,Red
Richard Walsh,Chris Indich,Red
Mitch Gagnon,Tim Gorman,Red
Minotauro Nogueira,Roy Nelson,Blue
Clay Guida,Tatsuya Kawajiri,Red
John Howard,Ryan LaFlare,Blue
Ramsey Nijem,Beneil Dariush,Red
Jared Rosholt,Daniel Omielanczuk,Red
Thales Leites,Trevor Smith,Red
Alan Omer,Jim Alers,Blue
Mauricio Rua,Dan Henderson,Blue
Cezar Ferreira,CB Dollaway,Blue
Fabio Maldonado,Gian Villante,Red
Michel Prazeres,Mairbek Taisumov,Red
Rony Jason,Steven Siler,Red
Ronny Markes,Thiago Santos,Blue
Jussier Formiga,Scott Jorgensen,Red
Thiago Perpetuo,Kenny Robertson,Blue
Francimar Barroso,Hans Stringer,Blue
Godofredo Pepey,Noad Lahat,Red
Johny Hendricks,Robbie Lawler,Red
Carlos Condit,Tyron Woodley,Blue
Diego Sanchez,Myles Jury,Blue
Jake Shields,Hector Lombard,Blue
Ovince Saint Preux,Nikita Krylov,Red
Kelvin Gastelum,Rick Story,Red
Raquel Pennington,Jessica Andrade,Blue
Dennis Bermudez,Jimy Hettes,Red
Sean Spencer,Alex Garcia,Blue
Renee Forte,Francisco Trevino,Blue
Will Campuzano,Justin Scoggins,Blue
Bubba McDaniel,Sean Strickland,Blue
Daniel Pineda,Rob Whiteford,Blue
Alexander Gustafsson,Jimi Manuwa,Red
Michael Johnson,Melvin Guillard,Red
Brad Pickett,Neil Seery,Red
Gunnar Nelson,Omari Akhmedov,Red
Cyrille Diabate,Ilir Latifi,Blue
Luke Barnatt,Mats Nilsson,Red
Bradley Scott,Claudio Silva,Blue
Igor Araujo,Danny Mitchell,Red
Dong Hyun Kim,John Hathaway,Red
Sai Wang,Zhang Lipeng,Blue
Matt Mitrione,Shawn Jordan,Red
Hatsu Hioki,Ivan Menjivar,Red
Kazuki Tokudome,Yui Chul Nam,Blue
Nam Phan,Vaughan Lee,Blue
Albert Cheng,An Ying Wang,Blue
Jumabieke Tuerxun,Mark Eddiva,Blue
Ronda Rousey,Sara McMann,Red
Daniel Cormier,Patrick Cummins,Red
Rory MacDonald,Demian Maia,Red
Mike Pyle,TJ Waldburger,Red
Robert Whittaker,Stephen Thompson,Blue
Alexis Davis,Jessica Eye,Red
Raphael Assuncao,Pedro Munhoz,Red
Cody Gibson,Aljamain Sterling,Blue
Zach Makovsky,Joshua Sampo,Red
Rafaello Oliveira,Erik Koch,Blue
Ernest Chavez,Yosdenis Cedeno,Red
Lyoto Machida,Gegard Mousasi,Red
Jacare Souza,Francis Carmont,Red
Erick Silva,Takenori Sato,Red
Viscardi Andrade,Nico Musoke,Blue
Charles Oliveira,Andy Ogle,Red
Cristiano Marcello,Joe Proctor,Blue
Rodrigo Damm,Ivan Jorge,Red
Francisco Trinaldo,Jesse Ronson,Red
Iuri Alcantara,Wilson Reis,Red
Felipe Arantes,Maximo Blanco,Red
Ildemar Alcantara,Albert Tumenov,Red
Douglas Silva de Andrade,Zubaira Tukhugov,Blue
Renan Barao,Urijah Faber,Red
Jose Aldo,Ricardo Lamas,Red
Frank Mir,Alistair Overeem,Blue
John Lineker,Ali Bagautinov,Blue
Jamie Varner,Abel Trujillo,Blue
John Makdessi,Alan Patrick,Blue
Chris Cariaso,Danny Martinez,Red
Nick Catone,Tom Watson,Red
Al Iaquinta,Kevin Lee,Red
Clint Hester,Andy Enz,Red
Anthony Rocco Martin,Rashid Magomedov,Blue
Neil Magny,Gasan Umalatov,Red
Benson Henderson,Josh Thomson,Red
Stipe Miocic,Gabriel Gonzaga,Red
Donald Cerrone,Adriano Martins,Red
Darren Elkins,Jeremy Stephens,Blue
Alex Caceres,Sergio Pettis,Red
Eddie Wineland,Yves Jabouin,Red
Junior Hernandez,Hugo Viana,Blue
Daron Cruickshank,Mike Rio,Red
George Sullivan,Mike Rhodes,Red
Walt Harris,Nikita Krylov,Blue
Luke Rockhold,Costas Philippou,Red
Lorenz Larkin,Brad Tavares,Blue
TJ Dillashaw,Mike Easton,Red
Yoel Romero,Derek Brunson,Red
John Moraga,Dustin Ortiz,Red
Cole Miller,Sam Sicilia,Red
Ramsey Nijem,Justin Edwards,Red
Isaac Vallie-Flagg,Elias Silverio,Blue
Trevor Smith,Brian Houston,Red
Alptekin Ozkilic,Louis Smolka,Blue
Vinc Pichel,Garett Whiteley,Red
Charlie Brenneman,Beneil Dariush,Blue
Tarec Saffiedine,Hyun Gyu Lim,Red
Tatsuya Kawajiri,Sean Soriano,Red
Kiichi Kunimoto,Luiz Dutra,Red
Kyung Ho Kang,Shunichi Shimizu,Red
Max Holloway,Will Chope,Red
Katsunori Kikuno,Quinn Mulhern,Red
Royston Wee,Dave Galera,Red
Mairbek Taisumov,Tae Hyun Bang,Red
Dustin Kimura,Jon Delos Reyes,Red
Leandro Issa,Russell Doane,Blue
Chris Weidman,Anderson Silva,Red
Ronda Rousey,Miesha Tate,Red
Josh Barnett,Travis Browne,Blue
Jim Miller,Fabricio Camoes,Red
Dustin Poirier,Diego Brandao,Red
Chris Leben,Uriah Hall,Blue
Gleison Tibau,Michael Johnson,Blue
John Howard,Siyar Bahadurzada,Red
William Patolino,Bobby Voelker,Red
Robert Peralta,Estevan Payan,Red
Demetrious Johnson,Joseph Benavidez,Red
Urijah Faber,Michael McDonald,Red
Chad Mendes,Nik Lentz,Red
Joe Lauzon,Mac Danzig,Red
Court McGee,Ryan LaFlare,Blue
Danny Castillo,Edson Barboza,Blue
Bobby Green,Pat Healy,Red
Scott Jorgensen,Zach Makovsky,Blue
Sam Stout,Cody McKenzie,Red
Abel Trujillo,Roger Bowling,Red
Darren Uyenoyama,Alptekin Ozkilic,Blue
Mauricio Rua,James Te Huna,Red
Ryan Bader,Anthony Perosh,Red
Pat Barry,Soa Palelei,Blue
Dylan Andrews,Clint Hester,Blue
Julie Kedzie,Bethe Correia,Blue
Takeya Mizugaki,Nam Phan,Red
Nick Ring,Caio Magalhaes,Blue
Richie Vaculik,Justin Scoggins,Blue
Bruno Santos,Krzysztof Jotko,Blue
Ben Wall,Alex Garcia,Blue
Gray Maynard,Nate Diaz,Blue
Julianna Pena,Jessica Rakoczy,Red
Chris Holdsworth,Davey Grant,Red
Jessamyn Duke,Peggy Morgan,Red
Roxanne Modafferi,Raquel Pennington,Blue
Akira Corassani,Maximo Blanco,Red
Rani Yahya,Tom Niinimaki,Blue
Jared Rosholt,Walt Harris,Red
Sean Spencer,Drew Dober,Red
Joshua Sampo,Ryan Benoit,Red
Georges St-Pierre,Johny Hendricks,Red
Rashad Evans,Chael Sonnen,Red
Rory MacDonald,Robbie Lawler,Blue
Josh Koscheck,Tyron Woodley,Blue
Tim Elliott,Ali Bagautinov,Blue
Donald Cerrone,Evan Dunham,Red
Ed Herman,Thales Leites,Blue
Brian Ebersole,Rick Story,Blue
Erik Perez,Edwin Figueroa,Red
Jason High,Anthony Lapsley,Red
Will Campuzano,Sergio Pettis,Blue
Cody Donovan,Gian Villante,Blue
Vitor Belfort,Dan Henderson,Red
Cezar Ferreira,Daniel Sarafian,Red
Rafael Feijao,Igor Pokrajac,Red
Paulo Thiago,Brandon Thatch,Blue
Santiago Ponzinibbio,Ryan LaFlare,Blue
Rony Jason,Jeremy Stephens,Blue
Godofredo Pepey,Sam Sicilia,Blue
Thiago Perpetuo,Omari Akhmedov,Blue
Thiago Tavares,Justin Salas,Red
Adriano Martins,Daron Cruickshank,Red
Jose Maria,Dustin Ortiz,Blue
Tim Kennedy,Rafael Natal,Red
Liz Carmouche,Alexis Davis,Blue
Ronny Markes,Yoel Romero,Blue
Jorge Masvidal,Rustam Khabilov,Blue
Colton Smith,Michael Chiesa,Blue
Bobby Green,James Krause,Red
George Roop,Francisco Rivera,Blue
Dennis Bermudez,Steven Siler,Red
Amanda Nunes,Germaine de Randamie,Red
Chris Camozzi,Lorenz Larkin,Blue
Neil Magny,Seth Baczynski,Blue
Derek Brunson,Brian Houston,Red
Lyoto Machida,Mark Munoz,Red
Jimi Manuwa,Ryan Jimmo,Red
Norman Parke,Jon Tuck,Red
Alessio Sakara,Nico Musoke,Blue
Phil Harris,John Lineker,Blue
Al Iaquinta,Piotr Hallmann,Red
Luke Barnatt,Andrew Craig,Red
Rosi Sexton,Jessica Andrade,Blue
Andy Ogle,Cole Miller,Blue
Jimy Hettes,Rob Whiteford,Red
Bradley Scott,Michael Kuiper,Red
Cain Velasquez,Junior Dos Santos,Red
Daniel Cormier,Roy Nelson,Red
Gilbert Melendez,Diego Sanchez,Red
Gabriel Gonzaga,Shawn Jordan,Red
John Dodson,Darrell Montague,Red
Tim Boetsch,CB Dollaway,Red
Nate Marquardt,Hector Lombard,Blue
George Sotiropoulos,KJ Noons,Blue
TJ Waldburger,Adlan Amagov,Blue
Tony Ferguson,Mike Rio,Red
Jeremy Larsen,Andre Fili,Blue
Dustin Pague,Kyoji Horiguchi,Blue
Demian Maia,Jake Shields,Blue
Erick Silva,Dong Hyun Kim,Blue
Thiago Silva,Matt Hamill,Red
Fabio Maldonado,Joey Beltran,Red
Rousimar Palhares,Mike Pierce,Red
Raphael Assuncao,TJ Dillashaw,Red
Ildemar Alcantara,Igor Araujo,Blue
Yan Cabral,David Mitchell,Red
Iliarde Santos,Chris Cariaso,Blue
Alan Patrick,Garett Whiteley,Red
Jon Jones,Alexander Gustafsson,Red
Renan Barao,Eddie Wineland,Red
Brendan Schaub,Matt Mitrione,Red
Costas Philippou,Francis Carmont,Blue
Pat Healy,Khabib Nurmagomedov,Blue
Mike Ricci,Myles Jury,Blue
Ivan Menjivar,Wilson Reis,Blue
Chris Clements,Stephen Thompson,Blue
Mitch Gagnon,Dustin Kimura,Red
John Makdessi,Renee Forte,Red
Michel Prazeres,Jesse Ronson,Red
Roland Delorme,Alex Caceres,Blue
Nandor Guelmino,Daniel Omielanczuk,Blue
Glover Teixeira,Ryan Bader,Red
Yushin Okami,Jacare Souza,Blue
Joseph Benavidez,Jussier Formiga,Red
Francisco Trinaldo,Piotr Hallmann,Blue
Rafael Natal,Tor Troeng,Red
Marcos Vinicius,Ali Bagautinov,Blue
Felipe Arantes,Kevin Souza,Blue
Lucas Martins,Junior Hernandez,Red
Joao Zeferino,Elias Silverio,Blue
Keith Wisniewski,Ivan Jorge,Blue
Yuri Villefort,Sean Spencer,Blue
Benson Henderson,Anthony Pettis,Blue
Frank Mir,Josh Barnett,Blue
Chad Mendes,Clay Guida,Red
